datetime,trade_date,symbol,contract_month,session,open,high,low,close,volume,open_interest
2015-01-05,2015-01-05,MTX,201501,regular,9243.0,9276.0,9156.0,9251.0,68927.0,22021.0
2015-01-06,2015-01-06,MTX,201501,regular,9147.0,9153.0,9018.0,9056.0,82393.0,20985.0
2015-01-07,2015-01-07,MTX,201501,regular,9043.0,9093.0,9033.0,9046.0,54274.0,21082.0
2015-01-08,2015-01-08,MTX,201501,regular,9115.0,9259.0,9115.0,9258.0,70059.0,21179.0
2015-01-09,2015-01-09,MTX,201501,regular,9333.0,9335.0,9218.0,9231.0,66147.0,20932.0
2015-01-12,2015-01-12,MTX,201501,regular,9188.0,9239.0,9158.0,9186.0,60912.0,20376.0
2015-01-13,2015-01-13,MTX,201501,regular,9191.0,9275.0,9159.0,9252.0,70757.0,20701.0
2015-01-14,2015-01-14,MTX,201501,regular,9238.0,9247.0,9152.0,9171.0,67761.0,18714.0
2015-01-15,2015-01-15,MTX,201501,regular,9186.0,9229.0,9130.0,9198.0,65341.0,17503.0
2015-01-16,2015-01-16,MTX,201501,regular,9174.0,9229.0,9081.0,9118.0,85591.0,16681.0
2015-01-19,2015-01-19,MTX,201501,regular,9208.0,9259.0,9141.0,9183.0,70562.0,14590.0
2015-01-20,2015-01-20,MTX,201501,regular,9222.0,9270.0,9182.0,9269.0,59714.0,13998.0
2015-01-21,2015-01-21,MTX,201501,regular,9280.0,9317.0,9273.0,9308.0,27343.0,6858.0
2015-01-22,2015-01-22,MTX,201502,regular,9357.0,9404.0,9342.0,9388.0,59567.0,21884.0
2015-01-23,2015-01-23,MTX,201502,regular,9450.0,9488.0,9443.0,9464.0,50905.0,22406.0
2015-01-26,2015-01-26,MTX,201502,regular,9446.0,9479.0,9432.0,9465.0,39126.0,23991.0
2015-01-27,2015-01-27,MTX,201502,regular,9522.0,9539.0,9480.0,9524.0,51972.0,25017.0
2015-01-28,2015-01-28,MTX,201502,regular,9475.0,9535.0,9473.0,9529.0,42683.0,24888.0
2015-01-29,2015-01-29,MTX,201502,regular,9495.0,9503.0,9426.0,9428.0,67680.0,22479.0
2015-01-30,2015-01-30,MTX,201502,regular,9457.0,9472.0,9385.0,9398.0,58451.0,22972.0
2015-02-02,2015-02-02,MTX,201502,regular,9387.0,9433.0,9370.0,9422.0,47728.0,24161.0
2015-02-03,2015-02-03,MTX,201502,regular,9439.0,9485.0,9407.0,9464.0,55383.0,24619.0
2015-02-04,2015-02-04,MTX,201502,regular,9526.0,9557.0,9511.0,9523.0,45551.0,22864.0
2015-02-05,2015-02-05,MTX,201502,regular,9520.0,9520.0,9470.0,9514.0,44818.0,23405.0
2015-02-06,2015-02-06,MTX,201502,regular,9541.0,9543.0,9459.0,9467.0,54188.0,23003.0
2015-02-09,2015-02-09,MTX,201502,regular,9436.0,9465.0,9415.0,9450.0,41901.0,23244.0
2015-02-10,2015-02-10,MTX,201502,regular,9470.0,9474.0,9418.0,9435.0,43782.0,23358.0
2015-02-11,2015-02-11,MTX,201502,regular,9460.0,9510.0,9457.0,9480.0,45274.0,19406.0
2015-02-12,2015-02-12,MTX,201502,regular,9495.0,9500.0,9462.0,9484.0,33438.0,15958.0
2015-02-13,2015-02-13,MTX,201502,regular,9512.0,9549.0,9505.0,9516.0,36215.0,11998.0
2015-02-24,2015-02-24,MTX,201502,regular,9580.0,9640.0,9579.0,9623.0,20365.0,8781.0
2015-02-25,2015-02-25,MTX,201503,regular,9696.0,9696.0,9660.0,9683.0,35712.0,20337.0
2015-02-26,2015-02-26,MTX,201503,regular,9687.0,9691.0,9634.0,9649.0,42981.0,20100.0
2015-03-02,2015-03-02,MTX,201503,regular,9655.0,9683.0,9616.0,9631.0,45072.0,21309.0
2015-03-03,2015-03-03,MTX,201503,regular,9645.0,9658.0,9581.0,9615.0,50290.0,20923.0
2015-03-04,2015-03-04,MTX,201503,regular,9580.0,9638.0,9571.0,9622.0,43582.0,19361.0
2015-03-05,2015-03-05,MTX,201503,regular,9622.0,9633.0,9551.0,9589.0,55280.0,19268.0
2015-03-06,2015-03-06,MTX,201503,regular,9592.0,9643.0,9566.0,9638.0,49625.0,19596.0
